timestamp_utc,variable,value,last_modified_utc
2024-06-23 00:00:00 UTC,406,-11.413505873927996,2024-06-23 00:00:00+00:00
2024-06-23 00:05:00 UTC,801,11.11744524341742,2024-06-23 00:00:00+00:00
2024-06-23 00:10:00 UTC,732,16.414185674850557,2024-06-23 00:00:00+00:00
2024-06-23 00:15:00 UTC,787,16.027654492768477,2024-06-23 00:00:00+00:00
2024-06-23 00:20:00 UTC,520,-41.52410327759861,2024-06-23 00:00:00+00:00
2024-06-23 00:25:00 UTC,581,8.190257903468925,2024-06-23 00:00:00+00:00
2024-06-23 00:30:00 UTC,462,23.59235998979756,2024-06-23 00:00:00+00:00
2024-06-23 00:35:00 UTC,612,29.556836614344945,2024-06-23 00:00:00+00:00
2024-06-23 00:40:00 UTC,286,8.853425193935259,2024-06-23 00:00:00+00:00
2024-06-23 00:45:00 UTC,459,-36.94269417654421,2024-06-23 00:00:00+00:00
2024-06-23 00:50:00 UTC,229,-41.6259676103221,2024-06-23 00:00:00+00:00
2024-06-23 00:55:00 UTC,504,-17.69463068941821,2024-06-23 00:00:00+00:00
2024-06-23 01:00:00 UTC,695,42.755880946596264,2024-06-23 00:00:00+00:00
2024-06-23 01:05:00 UTC,785,-2.7382471166517632,2024-06-23 00:00:00+00:00
2024-06-23 01:10:00 UTC,695,39.5473907147648,2024-06-23 00:00:00+00:00
2024-06-23 01:15:00 UTC,174,-4.032504672297513,2024-06-23 00:00:00+00:00
2024-06-23 01:20:00 UTC,195,25.5118106560127,2024-06-23 00:00:00+00:00
2024-06-23 01:25:00 UTC,373,-1.4872824310359647,2024-06-23 00:00:00+00:00
2024-06-23 01:30:00 UTC,971,20.870226143238384,2024-06-23 00:00:00+00:00
2024-06-23 01:35:00 UTC,27,-18.28207233328204,2024-06-23 00:00:00+00:00
2024-06-23 01:40:00 UTC,671,38.98652636367038,2024-06-23 00:00:00+00:00
2024-06-23 01:45:00 UTC,294,-23.429193126341687,2024-06-23 00:00:00+00:00
2024-06-23 01:50:00 UTC,531,-49.382317121572186,2024-06-23 00:00:00+00:00
2024-06-23 01:55:00 UTC,86,22.116578611684204,2024-06-23 00:00:00+00:00
2024-06-23 02:00:00 UTC,841,17.66044632445795,2024-06-23 00:00:00+00:00
2024-06-23 02:05:00 UTC,872,15.69014499256771,2024-06-23 00:00:00+00:00
2024-06-23 02:10:00 UTC,486,18.74150023133265,2024-06-23 00:00:00+00:00
2024-06-23 02:15:00 UTC,779,8.626421101848315,2024-06-23 00:00:00+00:00
2024-06-23 02:20:00 UTC,475,-38.472104692148555,2024-06-23 00:00:00+00:00
2024-06-23 02:25:00 UTC,727,16.92037223800513,2024-06-23 00:00:00+00:00
2024-06-23 02:30:00 UTC,258,-49.34014762192952,2024-06-23 00:00:00+00:00
2024-06-23 02:35:00 UTC,318,-31.715712104529935,2024-06-23 00:00:00+00:00
2024-06-23 02:40:00 UTC,156,-7.912159480465178,2024-06-23 00:00:00+00:00
2024-06-23 02:45:00 UTC,454,-12.163061959134538,2024-06-23 00:00:00+00:00
